thread_id,thread_title,post_idx_in_thread,page_idx_in_thread,timestamp_utc,author_hmac,author_was_guest,content_clean,content_hash,content_len_chars,content_len_chars_raw,is_reply,had_quote_block,n_urls,n_emojis,parent_post_idx,votes_up,votes_down,url_canonical,parser_version,scraped_at_utc
69413381,Co w 2025?,1,1,2024-12-31T10:32:00+00:00,4cece3e4b2876d36ea39,False,"Az mnie dziwi że zapomniałeś dodać ""5 milion do odkupu przez szort umoczeńców""",a9391ac1ba1d4f93,78,78,False,False,0,0,,4,0,"https://www.bankier.pl/forum/temat_re-co-w-2025,69413667.html",0.2.0,2026-05-14T13:21:46.054712+00:00
69413381,Co w 2025?,2,2,2024-12-31T11:19:00+00:00,6eef99b0ced05e64d08a,True,"Odkup 5 mln akcji to fakt który nastąpi bo jest nieunikniony. Jak się pożyczyło to trzeba oddać. Za miesiąc, za rok, za dwa, tego nie wiemy. Zazwyczaj na forum piszę o faktach i o liczbach. Bo nic mnie tak nie przekonuje na gpw jak konkrety i liczby. Ale w tym wątku pozwoliłem sobie na więcej gdybania i własnych przewidywań.",9d90950f7628dc50,326,326,False,False,0,0,,4,0,"https://www.bankier.pl/forum/temat_re-co-w-2025,69414025.html",0.2.0,2026-05-14T13:21:49.376056+00:00
69413171,Rok 2024 to klęska psycho hejterów opluwających spółkę.,0,0,2024-12-31T09:17:00+00:00,6eef99b0ced05e64d08a,True,"Zmasowany atak gawiedzi, zwłaszcza w pierwszym półroczu poszedł na marne. W drugim półroczu nasze forumowe chłopaczyny nieco odpuściły nagonkę, rynek ich „mądrości” zweryfikował. Ale nadal trzeba mieć świadomość tego co jest publikowane na forum i przez kogo.",c3358e19f77c0817,259,259,False,False,0,0,,6,1,"https://www.bankier.pl/forum/temat_rok-2024-to-kleska-psycho-hejterow-opluwajacych-spolke,69413171.html",0.2.0,2026-05-14T13:21:52.336026+00:00
69411711,Będę bogaty jak szejk!!!,0,0,2024-12-30T22:40:00+00:00,8a6e0f6834ef769c79a5,True,"Jeszcze urośnie z 20 zł i kupie sobie dwie kostki masła w biedronce, a nie smalec jak zawsze. Niech widzą bogactwo",4e73457cd0540280,114,114,False,False,0,0,,1,0,"https://www.bankier.pl/forum/temat_bede-bogaty-jak-szejk,69411711.html",0.2.0,2026-05-14T13:21:55.909169+00:00
69410983,"Właśnie, jeszcze skup akcji przed nami!",0,0,2024-12-30T20:59:00+00:00,09318b83a5d3cca8f66e,True,"Ale będzie jazda! Myślę, że będą skupywać przed premierą! Złote akcje",c71b12f8974ce3dc,69,69,False,False,0,0,,1,0,"https://www.bankier.pl/forum/temat_wlasnie-jeszcze-skup-akcji-przed-nami,69410983.html",0.2.0,2026-05-14T13:21:59.236689+00:00
69410983,"Właśnie, jeszcze skup akcji przed nami!",1,1,2024-12-30T21:59:00+00:00,e44ccff6d2759ef15643,True,"Nie będzie skupu , nie będzie potrzeby i tak akcje będą mega wysoko.",5f80b1254ae7417a,68,68,False,False,0,0,,0,0,"https://www.bankier.pl/forum/temat_re-wlasnie-jeszcze-skup-akcji-przed-nami,69411469.html",0.2.0,2026-05-14T13:22:02.547065+00:00
69410983,"Właśnie, jeszcze skup akcji przed nami!",2,2,2024-12-30T22:34:00+00:00,42cc64ff6002b3b6e377,True,"nie bedzie skupu, nikt nie jest frajerem",c40e0a2844ba8875,40,40,False,False,0,0,,0,0,"https://www.bankier.pl/forum/temat_re-wlasnie-jeszcze-skup-akcji-przed-nami,69411679.html",0.2.0,2026-05-14T13:22:05.892840+00:00
69403663,aktualne rekomendacje ekspertów to 220 do 240 złotych.,0,0,2024-12-30T11:19:00+00:00,eb8d43a506afa846db8a,True,jest trochę grosza do zarobienia.,5f3f6da524fbcaeb,33,33,False,False,0,0,,5,2,"https://www.bankier.pl/forum/temat_aktualne-rekomendacje-ekspertow-to-220-do-240-zlotych,69403663.html",0.2.0,2026-05-14T13:22:09.770754+00:00
69403663,aktualne rekomendacje ekspertów to 220 do 240 złotych.,1,1,2024-12-30T11:29:00+00:00,c91f1f413b52d150f465,True,Przebicie 200 i obrona otwiera drzwi do wzrostów bez sufitu,93cdae57f90e65da,59,59,False,False,0,0,,7,1,"https://www.bankier.pl/forum/temat_re-aktualne-rekomendacje-ekspertow-to-220-do-240-zlotych,69403819.html",0.2.0,2026-05-14T13:22:13.377809+00:00
69403663,aktualne rekomendacje ekspertów to 220 do 240 złotych.,2,2,2024-12-30T11:37:00+00:00,e2a2e3a69056307d6789,True,"Moim zdaniem to słabiutkie wyciąganie za uszy naszej GPW, a po Nowym Roku spadki przez około 2 tygodnie.",98fd19923c1054c3,104,104,False,False,0,0,,3,4,"https://www.bankier.pl/forum/temat_re-aktualne-rekomendacje-ekspertow-to-220-do-240-zlotych,69403971.html",0.2.0,2026-05-14T13:22:16.624561+00:00
